exposure_index,start_seconds,exposure_seconds,visibility,vis_HV,vis_DA,QBER_total,C_HH,cps_HH,delay_HH_ps,C_VV,cps_VV,delay_VV_ps,C_DD,cps_DD,delay_DD_ps,C_AA,cps_AA,delay_AA_ps,C_HV,cps_HV,delay_HV_ps,C_VH,cps_VH,delay_VH_ps,C_DA,cps_DA,delay_DA_ps,C_AD,cps_AD,delay_AD_ps,alice_ch1_singles,alice_ch1_cps,alice_ch2_singles,alice_ch2_cps,alice_ch3_singles,alice_ch3_cps,alice_ch4_singles,alice_ch4_cps,bob_ch1_singles,bob_ch1_cps,bob_ch2_singles,bob_ch2_cps,bob_ch3_singles,bob_ch3_cps,bob_ch4_singles,bob_ch4_cps
1,0.0,1.0,0.02597402597402597,0.14285714285714285,-0.09090909090909091,0.487012987012987,9,9.0,35099.998474121094,11,11.0,35599.998474121094,4,4.0,-23299.999237060547,6,6.0,38900.001525878906,8,8.0,36099.998474121094,7,7.0,44500.0,4,4.0,-16600.000381469727,8,8.0,39099.998474121094,10772,10772.0,15653,15653.0,10834,10834.0,25642,25642.0,44079,44079.0,53850,53850.0,56357,56357.0,42812,42812.0
2,1.0,1.0,0.09523809523809523,0.3333333333333333,-0.14285714285714285,0.4523809523809524,14,14.0,35500.0,14,14.0,35400.001525878906,4,4.0,-42599.998474121094,5,5.0,5300.000190734863,10,10.0,36500.0,4,4.0,8000.0,6,6.0,38200.00076293945,6,6.0,38500.0,10610,10610.0,15724,15724.0,11019,11019.0,25755,25755.0,44165,44165.0,53798,53798.0,56340,56340.0,42714,42714.0
3,2.0,1.0,0.17857142857142855,0.2571428571428571,0.1,0.4107142857142857,11,11.0,35400.001525878906,11,11.0,35900.001525878906,5,5.0,-48799.99923706055,6,6.0,38700.00076293945,7,7.0,46700.00076293945,6,6.0,35000.0,5,5.0,-28399.999618530273,4,4.0,-8199.999809265137,10777,10777.0,15585,15585.0,10857,10857.0,25345,25345.0,43903,43903.0,53371,53371.0,55852,55852.0,42748,42748.0
4,3.0,1.0,0.09321175278622088,0.23404255319148937,-0.047619047619047616,0.4533941236068896,12,12.0,35400.001525878906,17,17.0,35599.998474121094,4,4.0,-19700.000762939453,6,6.0,38900.001525878906,13,13.0,35799.99923706055,5,5.0,-65400.001525878906,4,4.0,-63099.998474121094,7,7.0,38799.99923706055,10749,10749.0,15426,15426.0,10716,10716.0,25156,25156.0,44119,44119.0,53948,53948.0,56361,56361.0,42966,42966.0
5,4.0,1.0,0.23157894736842105,0.2631578947368421,0.2,0.38421052631578945,13,13.0,34900.001525878906,23,23.0,35500.0,6,6.0,39200.00076293945,6,6.0,38900.001525878906,15,15.0,36000.0,6,6.0,35200.00076293945,4,4.0,31600.000381469727,4,4.0,-55000.0,10812,10812.0,15734,15734.0,10797,10797.0,25082,25082.0,44121,44121.0,53838,53838.0,56339,56339.0,42989,42989.0
6,5.0,1.0,0.2627045650301464,0.4883720930232558,0.037037037037037035,0.3686477174849268,16,16.0,35400.001525878906,16,16.0,35299.99923706055,6,6.0,38400.001525878906,8,8.0,38799.99923706055,6,6.0,-17299.999237060547,5,5.0,-20500.0,5,5.0,3400.0000953674316,8,8.0,39000.0,10948,10948.0,15644,15644.0,10795,10795.0,25175,25175.0,44121,44121.0,53679,53679.0,56081,56081.0,43114,43114.0
7,6.0,1.0,0.2863485016648169,0.39622641509433965,0.17647058823529413,0.3568257491675916,15,15.0,35599.998474121094,22,22.0,35400.001525878906,5,5.0,39200.00076293945,5,5.0,5599.999904632568,12,12.0,35900.001525878906,4,4.0,-64300.00305175781,3,3.0,-55400.001525878906,4,4.0,-31100.000381469727,11072,11072.0,15874,15874.0,10903,10903.0,25534,25534.0,44042,44042.0,53761,53761.0,56307,56307.0,43047,43047.0
8,7.0,1.0,0.07790697674418605,0.2558139534883721,-0.1,0.461046511627907,12,12.0,35500.0,15,15.0,35599.998474121094,5,5.0,39000.0,4,4.0,-54299.99923706055,10,10.0,36000.0,6,6.0,-49599.998474121094,4,4.0,-79199.99694824219,7,7.0,39400.001525878906,10836,10836.0,15385,15385.0,10513,10513.0,24848,24848.0,43775,43775.0,53416,53416.0,55870,55870.0,42681,42681.0
9,8.0,1.0,0.15,0.3,0.0,0.425,8,8.0,35200.00076293945,18,18.0,35599.998474121094,7,7.0,39299.99923706055,4,4.0,-1700.0000476837158,9,9.0,35599.998474121094,5,5.0,-77900.0015258789,7,7.0,39000.0,4,4.0,38799.99923706055,11151,11151.0,15705,15705.0,10795,10795.0,24963,24963.0,44246,44246.0,53583,53583.0,56037,56037.0,43319,43319.0
10,9.0,1.0,0.30793650793650795,0.37777777777777777,0.23809523809523808,0.346031746031746,12,12.0,35299.99923706055,19,19.0,35299.99923706055,9,9.0,39099.998474121094,4,4.0,-50700.00076293945,9,9.0,35900.001525878906,5,5.0,-23700.000762939453,5,5.0,38799.99923706055,3,3.0,3000.0,11092,11092.0,15701,15701.0,10831,10831.0,24693,24693.0,43990,43990.0,53662,53662.0,55979,55979.0,43080,43080.0
